2014-06-21|102.232123|45.32312|34
2014-06-23|102.232123|45.32312|34
2015-06-23 22:06:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:06:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:06:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:06:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:06:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:07:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:07:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:07:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:07:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:07:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:07:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:08:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:08:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:08:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:08:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:08:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:08:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:09:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:09:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:09:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:09:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:09:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:09:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:10:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:10:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:10:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:10:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:10:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:10:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:11:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:11:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:11:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:11:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:11:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:11:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:12:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:12:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:12:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:12:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:12:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:12:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:13:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:13:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:13:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:13:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:13:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:13:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:14:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:14:08|113.382994|23.124541|0.0|65.79287
2015-06-23 22:14:18|113.382994|23.124541|0.0|65.79287
2015-06-23 22:14:28|113.382994|23.124541|0.0|65.79287
2015-06-23 22:14:38|113.382994|23.124541|0.0|65.79287
2015-06-23 22:14:48|113.382994|23.124541|0.0|65.79287
2015-06-23 22:14:58|113.382994|23.124541|0.0|65.79287
2015-06-23 22:15:08|113.382994|23.124541|0.0|65.79287
2015-06-23 22:15:18|113.382994|23.124541|0.0|65.79287
2015-06-23 22:15:28|113.382994|23.124541|0.0|65.79287
2015-06-23 22:15:37|113.382994|23.124541|0.0|65.79287
2015-06-23 22:15:47|113.382994|23.124541|0.0|65.79287
2015-06-23 22:15:57|113.382994|23.124541|0.0|65.79287
2015-06-23 22:16:07|113.382994|23.124541|0.0|65.79287
2015-06-23 22:16:09|113.382994|23.124541|0.0|65.79287
2015-06-23 22:16:19|113.382994|23.124541|0.0|65.79287
2015-06-23 22:16:29|113.382994|23.124541|0.0|65.79287
2015-06-23 22:16:39|113.382994|23.124541|0.0|65.79287
2015-06-23 22:16:49|113.382994|23.124541|0.0|65.79287
2015-06-23 22:16:59|113.382994|23.124541|0.0|65.79287
2015-06-23 22:17:09|113.382994|23.124541|0.0|65.79287
2015-06-23 22:17:19|113.382994|23.124541|0.0|65.79287
2015-06-23 22:17:35|113.382994|23.124541|0.0|65.79287
2015-06-23 22:17:45|113.382994|23.124541|0.0|65.79287
2015-06-23 22:17:55|113.382994|23.124541|0.0|65.79287
2015-06-23 22:18:05|113.382994|23.124541|0.0|65.79287
2015-06-23 22:18:15|113.382994|23.124541|0.0|65.79287
2015-06-23 22:18:25|113.382994|23.124541|0.0|65.79287
2015-06-23 22:18:35|113.382994|23.124541|0.0|65.79287
2015-06-23 22:18:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:18:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:19:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:19:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:19:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:19:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:19:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:19:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:20:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:20:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:20:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:20:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:20:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:20:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:21:01|113.382994|23.124541|0.0|65.79287
2015-06-23 22:21:11|113.382994|23.124541|0.0|65.79287
2015-06-23 22:21:21|113.382994|23.124541|0.0|65.79287
2015-06-23 22:21:31|113.382994|23.124541|0.0|65.79287
2015-06-23 22:21:41|113.382994|23.124541|0.0|65.79287
2015-06-23 22:21:51|113.382994|23.124541|0.0|65.79287
2015-06-23 22:22:01|113.382994|23.124541|0.0|65.79287
